PLANNEDUSEFORMERUSE,reporting,type,supplytype
Other  Vapor monitoring,22,other,
Destruction  CPT,21,other,
Destruction  Soil Samples,21,other,
Other  Soil Gas Monitoring,21,other,
Destruction Irrigation - Landscape,18,other,
Other  Soil Vapor Point,18,other,
Other  Vapor,18,other,
Destruction  Monitoring,16,other,
Other  DEVICE USED TO MEASURE CHANGES IN LENGHT OF AN OBJECT.,16,other,
Other  Vapor monitoring well,16,other,
Destruction  Temporary,15,other,
Destruction  vapor testing,15,other,
Other  Monitoring well destruction,15,other,
Other  Remediation/Ozone sparge,15,other,
Other  Soil Vapor Probes,15,other,
Destruction  Vapor probe,14,other,
Other  Drill out,14,other,
Other  Ozone Sparge,14,other,
Other  Stormwater,14,other,
Destruction  Geotech,13,other,
Destruction  Sample,13,other,
Other  Soil vapor probe,13,other,
Other  Thermal Conduction Heating,13,other,
Destruction  foundation investigation,12,other,
Other  none,12,other,
Vapor Extraction  n/a,12,other,
Other  AC Mitigation,11,other,
Other  Environmental,11,other,
Other  Heat Loop Installation,11,other,
Other  Perc test,11,other,
Other  SOIL GAS PROBES FOR MONITORING TRACES OF GAS MESSENGER OF MICROBAL ACTIVITY,11,other,
Other  VAPOR PROBES,11,other,
Other  borehole,11,other,
Other  inclinometer,11,other,
Destruction  Soil boring,10,other,
Destruction Unknown not specified,10,other,
Other  EW,10,other,
Other  SVP,10,other,
Other  Soil Boring,10,other,
Other  Vadose,10,other,
Other  Vapor Monitor Implant,10,other,
Other  Vapor Sampling Well,10,other,
Other  Vapor Well,10,other,
Other  Well Destruction,10,other,
Other  Biosparging Well,9,other,
Other  HYDRAULIC FRACTURING WELL,9,other,
Other  PROBE SURVEY,9,other,
Other  Soil Samples,9,other,
Other  VAPOR POINT,9,other,
Other  air sparge/vapor extraction,9,other,
Destruction  Ground Water Sample,8,other,
Destruction  SOIL BORING,8,other,
Destruction Domestic Water Supply,1,other,
"Other  Recovery wells are installed when contamination is present in groundwater. Groundwater is the source of about 37% of water that flows through counties and cities to supply households and businesses. It can easily be contaminated by man-made products such as: gasoline, oil road salts and chemicals. All factors produce unfit and unsafe groundwater for human use. Recovery wells stop this transaction from occurring. When a recovery well (extraction well) is installed, it extracts these pollutants on a long term or short basis. The well can vary in size from 1” to 8”, which all depends on the site conditions, groundwater depth and drilling method used. Once pollutants are free from the ground and tested, the recovery process proceeds. Contamination is treated and disposed.",1,other,
Other  SUPPLEMENTAL SUPPLY FOR WETLANDS MAINTENANCE,5,other,
Other  SUPPLY WETLANDS MAINTENANCE,1,other,
Destruction  Soil Sampling,8,other,
Destruction Unknown Boring,8,other,
Destruction Unknown Soil Boring,8,other,
Destruction Unknown Test Well,8,other,
Monitoring  replaced well with different materials,8,other,
Other  Air sparge well,8,other,
Other  Explor/Geotech,8,other,
Other  Ozone Sparge Well,8,other,
Other  Soil Vapor Extraction and Air Sparge,8,other,
Other  Soil Vapor Sample Point,8,other,
Other  Vapor Monitoring Point,8,other,
Destruction  BORINGS,7,other,
Destruction  Groundwater sampling,7,other,
Destruction  Investigative CPT Boring,7,other,
Destruction  Test Hole,7,other,
Destruction  vapor probes,7,other,
Other  AS WELL,7,other,
Other  Observation Well,7,other,
Other  PIEZOMETER,7,other,
Other  SVE Wells,7,other,
Other  Salt Water Intake,7,other,
Other  Soil Vapor Sampling Well,7,other,
Other  Water Extraction,7,other,
Other  horizontal vapor,7,other,
Other  ozone sparge,7,other,
Destruction  Hydro-Punch,6,other,
Destruction  Nested SVP's,6,other,
Destruction  Temp well/pull out,6,other,
Destruction  soil and water sampling,6,other,
Destruction  took water samples  at 40ft,6,other,
Other  Destroy,6,other,
Other  Oxygen Injection,6,other,
Other  Piezometers,6,other,
Other  Plume Delineation,6,other,
Other  REMOVED 2 FT OF CASING,6,other,
Other  SVE Extraction Well,6,other,
Other  Soil vapor sample point.,6,other,
Other  Sparge/vapor,6,other,
Other  Temp Well,6,other,
Other  Vapor Monitor,6,other,
Other  Vent Well,6,other,
Other  slope inclinometer,6,other,
Destruction  Exploratory,5,other,
Destruction  Hydro punch Sampling,5,other,
Destruction  Soil Boring for collection of water samples,5,other,
Destruction  Steel Wells,5,other,
Destruction Industrial,5,other,
Destruction Unknown geotechnical,5,other,
Monitoring  – the wells were reinstalled in order to increase the screening interval in each well from 30’ to 50’ bgs.,5,other,
Other  AIR SPARGE/SOIL VAPOR EXTRACTION WELL,5,other,
Other  Air Sparge Well,5,other,
Other  Bio Vent,5,other,
Other  DUAL PHASE EXTRACTION WELL,5,other,
Other  GW Monitoring,5,other,
Other  Geotechnical Boring,5,other,
Other  Injection Well,5,other,
Other  Multi-Phase Extraction,5,other,
Other  Production,5,other,
Other  Recovery Well,5,other,
Other  Soil Gas,5,other,
Other  Soil vapor,5,other,
Other  TEMPERATURE MONITORING,5,other,
Other  Vapor Extraction. The temp well was properly abandoned on Sep. 24th 2016.,5,other,
Other  Water Extraction Well,5,other,
Other  geotechnical investigation,5,other,
Other  not labeled,5,other,
Destruction  Core Soil Sampling,4,other,
Destruction  Soil Samplin,4,other,
Destruction  Temp Well,4,other,
Destruction  Temporary Nested Soil Vapor Probes,4,other,
Destruction  Took soil & water sample,4,other,
Destruction  Water Sample,4,other,
Destruction  water sample,4,other,
Destruction Stock or Animal Watering,4,other,
Destruction Unknown None,4,other,
Destruction Unknown foundation investigation,4,other,
Monitoring  Replacement,4,other,
Monitoring  THIS WELL WAS DAMAGED DURING SOIL EXCAVATION ACTIVITIES SO IT WAS OVER DRILLED AND REINSTALLED AT SAME DEPTH,4,other,
Other  2.75 inch Slope Inclinometer Installation,4,other,
Other  6in. vapor probes,4,other,
Other  Air Sparging,4,other,
Other  Community,4,other,
Other  DPE,4,other,
Other  Dairy,4,other,
Other  Domestic & Ag,4,other,
Other  Exploratory Borehole,4,other,
Other  GWE,4,other,
Other  Landfill Gas Monitoring Well,4,other,
Other  Monitoring and Vapor Extraction,4,other,
Other  Municipal Well,4,other,
Other  NESTED SOIL GAS SAMPLING PROBES,4,other,
Other  None. This is a destruction.,4,other,
Other  Observation well,4,other,
Other  Soil Gas Well,4,other,
Other  Soil Vapor Monitoring Well,4,other,
Other  Stock,4,other,
Other  Stock Water,4,other,
Other  Stock Well,4,other,
Other  Triple Nest,4,other,
Other  VAPOR PROBE REMOVAL,4,other,
Other  Vapor Probes,4,other,
Other  Vapor Remediation Well,4,other,
Other  Vibrating Wire Piezometer Installtion,4,other,
Other  exploratory boring,4,other,
Other  geothermal heating and cooling,4,other,
Other  vapor probe,4,other,
Other  water sample,4,other,
Cathodic,3,other,
Destruction  Borring,3,other,
Destruction  GROUNDING WELL,3,other,
"Destruction  Geotechnical Boring, no well installed",3,other,
Destruction  SOIL BORINGS,3,other,
Destruction  Sampling,3,other,
Destruction  TEST HOLE,3,other,
Destruction  Temp well,3,other,
Destruction Industrial direct push,3,other,
Monitoring  Raise surface elevation of well,3,other,
Monitoring  Reconstruction,3,other,
Monitoring  Reinstall,3,other,
Monitoring  Unknown,3,other,
Other  ABANDONED NESTED OZONE SPARGE/SOIL VAPOR EXTRACTION WELL,3,other,
Other  ABANDONMENT,3,other,
Other  Abandonment,3,other,
Other  DNP,3,other,
Other  Destruction of well,3,other,
Other  Dual phase Extraction,3,other,
Other  Elecrodes,3,other,
Other  Fire Suppression,3,other,
Other  Ground Rod,3,other,
Other  Ground water extraction well,3,other,
Other  Grounding Well,3,other,
Other  INCLINOMETER,3,other,
Other  Injection & Monitoring,3,other,
Other  Lysimeter,3,other,
Other  NESTED MONITORING WELL AND VAPOR WELL,3,other,
Other  NESTED SOIL VAPOR EXTRACTION/AIR SPARGE WELL,3,other,
Other  Nested SVP,3,other,
Other  Not Specified,3,other,
Other  OBSERVATION,3,other,
Other  OBSERVATION WELL,3,other,
Other  OZONE INJECTION POINT,3,other,
Other  Observation Well & Soil Vapor Extraction Well,3,other,
Other  PROBE,3,other,
Other  RECOVERY WELL,3,other,
Other  Recharge Well,3,other,
Other  Remediation,3,other,
Other  SOIL VAPOR EXTRACTION AND AIR SPARGE WELL,3,other,
Other  SOIL VAPOR EXTRACTION/AIR SPARGE,3,other,
Other  SVE,3,other,
Other  SVPs Wells,3,other,
Other  Slope inclinometer,3,other,
Other  Soil Boring Sampling,3,other,
Other  Soil Gas Probe,3,other,
Other  Soil Vapor Monitoring Point,3,other,
Other  Soil Vapor Well,3,other,
Other  Soil vapor point,3,other,
Other  TEMP WELL,3,other,
"Other  TEMP WELL ,BORRING",3,other,
Other  Temperature Pressure Monitoring Point,3,other,
Other  Temporary Soil Vapor Probes,3,other,
Other  VWP water level Monitoring,3,other,
Other  Vapor Extraction & Sparge,3,other,
Other  Vapor Sampling,3,other,
Other  Vibrating Wire Piezometer,3,other,
Other  WATER,3,other,
Other  Water Injection,3,other,
Other  Well Destruct,3,other,
Other  shallow soil gas well,3,other,
Other  vapor Probe,3,other,
Other  water,3,other,
Test Well  n/a,3,other,
Destruction  Borehole,2,other,
Destruction  CPT Boring,2,other,
Destruction  Collect Water,2,other,
Destruction  Cone Penetration Test (CPT),2,other,
Destruction  Grounding well,2,other,
Destruction  HYDRO PUNCH,2,other,
Destruction  Vapor Extraction,2,other,
Destruction  cpt,2,other,
Destruction  geotechnical - soil samples,2,other,
Destruction  grounding well,2,other,
Destruction  lithology,2,other,
Destruction  lompoc job,2,other,
Destruction  soil samples,2,other,
"Destruction Industrial Municipal, Agricultural, Processing",2,other,
Destruction Unknown SOIL BORING,2,other,
Destruction Unknown perc test,2,other,
Monitoring  Convert to monitor well,2,other,
"Monitoring  Install 2\"" PVC MW in 10"" steel casing well from 1937",2,other,
Monitoring  Replaced PVC casing with stainless steel casing,2,other,
Monitoring  THIS WELL WAS DAMAGED SO IT WAS OVER DRILLED AND REINSTALLED AT SAME DEPTH,2,other,
Monitoring  Wells where damaged during construction on the site.  It was determine that the wells had to be drilled completely out and reinstalled,2,other,
Other  AC Mit,2,other,
Other  AIR SPARGE/MONITORING,2,other,
Other  AS/VE,2,other,
Other  Bioventing,2,other,
Other  CAVED IN,2,other,
Other  COMMERCIAL,2,other,
Other  CPT,2,other,
Other  Cathodic Protection,2,other,
Other  Cattle/Stock,2,other,
Other  Community Well,2,other,
Other  DUAL NESTED PIEZOMETER,2,other,
Other  DUAL NESTED SOIL VAPOR PROBE,2,other,
Other  Domestic/AG,2,other,
Other  Dual Air Sparge,2,other,
Other  Dual-Phase Extraction Pilot Test Observation Well,2,other,
Other  Dual-Phase Extraction Pilot Testing Well,2,other,
Other  ENVIRONMENTAL,2,other,
Other  EXTRACTION,2,other,
Other  Electrode,2,other,
Other  Extraction well for remediation,2,other,
Other  GEOTHERMAL HEAT EXCHANGE WELL,2,other,
Other  Geotechnical Investigation,2,other,
Other  Geotechnical Investigations,2,other,
Other  Geotechnical Slope Inclinometer,2,other,
Other  Grounding Rod,2,other,
Other  Groundwater Extraction,2,other,
Other  Groundwater extraction for remediation,2,other,
Other  INCLINOMETER WELL,2,other,
Other  Inclinometer Installation (Monitoring),2,other,
Other  Injection and Monitoring,2,other,
Other  Landfill Gas Monitoring,2,other,
Other  Monitoring Injection,2,other,
Other  Monitoring Water Level (Piezometer),2,other,
Other  Nested well,2,other,
"Other  Originally, for geotechnical purposes. Was sampled by Roux in December 2021.",2,other,
Other  PERC WELL,2,other,
Other  PRESSURE GROUT,2,other,
Other  Piezometer (water level only),2,other,
Other  Piezometer to monitor groundwater levels,2,other,
Other  Process water at gas plant,2,other,
Other  Recovery,2,other,
Other  Remediation/Soil+GW sampling access-never used,2,other,
Other  SOIL BORING,2,other,
Other  SOIL GAS MONITORING,2,other,
Other  SOIL VAPOR MONITORING,2,other,
Other  Soil Gas well,2,other,
Other  Soil Sampling,2,other,
Other  Soil Vapor Sampling,2,other,
Other  Soil vapor sampling,2,other,
Other  Sub-slab soil vapor probe,2,other,
Other  TRENCH WELL,2,other,
Other  TRIPLE NESTED VAPOR MONITORING AND DUAL-PHASE EXTRACTION WELL,2,other,
Other  Test Well-Soil Borehole,2,other,
Other  Vapor point,2,other,
Other  Vertical Slope Inclinometer,2,other,
Other  community,2,other,
Other  destruction,2,other,
Other  dry steel casing 16 inches in diameter and 40 ft deep,2,other,
Other  geotechnical boring,2,other,
Other  no use being filled in and sealed,2,other,
Other  none provided,2,other,
Other  prepack well,2,other,
Other  probe,2,other,
Other  shaft,2,other,
Other  soil vapor well point,2,other,
Cathodic Protection  Unknown,1,other,
Destruction  CONE PENETRATION TEST (CPT),1,other,
Destruction  CPT BORINGS,1,other,
Destruction  Cone penetration test (CPT),1,other,
Destruction  Destruction,1,other,
Destruction  Dewatering,1,other,
Destruction  Environmental Samples,1,other,
Destruction  Exploratory/distroy,1,other,
Destruction  Geotechinical Boring,1,other,
Destruction  Groundwater Samples,1,other,
Destruction  Hydropunch Sampling,1,other,
Destruction  Inclinometer,1,other,
Destruction  N/A,1,other,
Destruction  PVC Wells,1,other,
Destruction  SOIL - TEST HOLE,1,other,
Destruction  Samples,1,other,
Destruction  Soil Exploration,1,other,
Destruction  Test Well and Temporary Well,1,other,
"Destruction  Test Well, not enough water",1,other,
Destruction  monitoring,1,other,
Destruction  not specified,1,other,
Destruction  vapor probe,1,other,
Destruction Unknown Boring grouted,1,other,
Destruction Unknown Boring perc test,1,other,
Destruction Unknown CPT,1,other,
Destruction Unknown Exploratory,1,other,
Destruction Unknown Exploratory boring log and distroy,1,other,
Destruction Unknown Geotechnical Exploration,1,other,
Destruction Unknown PILOT HOLE,1,other,
Destruction Unknown Soil boring,1,other,
Destruction Unknown TEST,1,other,
Destruction Unknown TEST HOLE,1,other,
Destruction Unknown geological investigation,1,other,
Destruction Unknown groundwater sampling,1,other,
Destruction Unknown lithology,1,other,
"Monitoring  Install larger 2\"" casing",1,other,
Monitoring  Monitoring,1,other,
Monitoring  Not Specified,1,other,
Monitoring  Overdrill and replace well constructed to same depth as original.,1,other,
Monitoring  REPAIR TOP 3',1,other,
Monitoring  Raise well,1,other,
Monitoring  Reconstructed,1,other,
Monitoring  Well Repair,1,other,
"Monitoring  lower TOC, repair well box",1,other,
Monitoring  replace PVC,1,other,
Monitoring  replaced 108c,1,other,
Monitoring  test hole for water sample,1,other,
Monitoring Unknown,1,other,
Other  20' Seal,1,other,
"Other  20' Well Seal, well owner changed her mind from a 50' seal indicated on her well application to a 20'",1,other,
Other  A/C MITIGATION,1,other,
Other  AG,1,other,
Other  AIR SPARGE,1,other,
Other  AS/SVE,1,other,
Other  Abandon 3 inch PVC Pipe depth 38 Feet,1,other,
Other  Abandoned,1,other,
Other  Ag Well,1,other,
Other  Airsparge,1,other,
Other  Angled Vapor Extraction,1,other,
Other  BGE Wells,1,other,
Other  BMW Well,1,other,
Other  BORING,1,other,
Other  BRINE,1,other,
Other  Boring Construction,1,other,
Other  Brine,1,other,
"Other  CAVITY WHILE DRILLING, HAD TO DESTROY",1,other,
Other  Cavity,1,other,
Other  Cistern,1,other,
Other  Conductor Abandonment Only,1,other,
Other  Conductor only,1,other,
Other  Construction,1,other,
Other  Cooling Tower,1,other,
Other  DAIRY,1,other,
Other  DECOMMISSION,1,other,
Other  DESTROY,1,other,
Other  DRY HOLE WHEN DRILLED,1,other,
"Other  DUAL PHASE EXTRACTION WELL ALSO KNOWN AS MULTI-PHASE EXTRACTION, IS A TECHNOLOGY THAT USES A HIGH-VACUUM SYSTEM TO REMOVE BOTH CONTAMINATED GROUNDWATER AND SOIL VAPOR.",1,other,
Other  Deepening,1,other,
Other  Destruction Report,1,other,
Other  Destruction well,1,other,
Other  Dewatering well,1,other,
Other  Domestic/Agricultural,1,other,
Other  Drilled Borehole - Destroyed Immediately,1,other,
Other  Dry Well,1,other,
Other  Dry Well/Stormwater,1,other,
Other  Dual Phase Extraction,1,other,
Other  Dual Phase Extraction Well,1,other,
Other  Dual-phase extraction,1,other,
Other  Electrodes,1,other,
Other  Existing well,1,other,
Other  Extraction well,1,other,
Other  FIRE SUPPRESSION,1,other,
Other  Filling spray rigs,1,other,
Other  GW Extraction well and Piezometer,1,other,
Other  Ground Source Heat Exchange,1,other,
Other  Ground Temperatures,1,other,
Other  Ground Water Sample,1,other,
Other  Ground Well,1,other,
Other  Grounding Electrode,1,other,
Other  Groundwater Extraction Well for Aquifer Test,1,other,
Other  Groundwater extraction,1,other,
Other  HORIZONTAL VAPOR EXTRACTION WELL,1,other,
Other  Heat Exchanger,1,other,
Other  Heat exchange,1,other,
Other  Hydropunch Sample,1,other,
Other  Hydropunch for Sample,1,other,
Other  INDUSTRIAL-CONSTRUCTION WATER,1,other,
Other  Industrial Well,1,other,
Other  Intermidiate Zone Extraction Well,1,other,
Other  Irrigation/AG,1,other,
Other  LFG Monitoring/Extraction,1,other,
Other  Lake Refill Only,1,other,
Other  Landfill Gas Probe,1,other,
Other  Landfill Gas Well,1,other,
Other  MPE EXTRACTION WELL,1,other,
Other  MULTI-PHASE EXTRACTION WELL/PIEZOMETER,1,other,
Other  Monitoring Well and Vapor Extraction Well,1,other,
Other  Mornitoring,1,other,
Other  Multi-Phase Extraction (MPE),1,other,
Other  Municipial Well,1,other,
Other  NA,1,other,
Other  NESTED GROUNDWATER AND SOIL GAS PROBE.,1,other,
Other  NI Well,1,other,
Other  NO Well,1,other,
Other  Nested Vapor Probes,1,other,
Other  Nested Well,1,other,
Other  Non use-Destruction,1,other,
Other  Non-Potable Discharge,1,other,
Other  Not indicated on Well Permit,1,other,
Other  Not labeled,1,other,
Other  OPEN BOTTOM,1,other,
Other  OW,1,other,
Other  Oberservation,1,other,
Other  Old well casing,1,other,
Other  Ozone Spage,1,other,
Other  PERCOLATION,1,other,
Other  Piezometer for measuring groundwater level,1,other,
Other  Piezometer for monitoring groundwater levels,1,other,
Other  Piezometer for water level measurement,1,other,
Other  Piezometer for water levels,1,other,
Other  Piezometer sensors,1,other,
Other  Piezometer well,1,other,
Other  Pilot Hole,1,other,
Other  Prison Water Well,1,other,
"Other  Public, installed packers",1,other,
Other  Pump chamber,1,other,
Other  REASON FOR WELL DESTRUCTION NOT PROVIDED,1,other,
Other  Recharge,1,other,
Other  Remediation/Monitoring,1,other,
Other  Replacement,1,other,
Other  Residential,1,other,
Other  SESPE FORMATION TEST WELL,1,other,
Other  SOIL BORING / TEST HOLE,1,other,
Other  SOIL CONSOLIDATION AREA MONOTORING WELL,1,other,
Other  Soil Vapor Poiny,1,other,
Other  Soil vapor monitoring,1,other,
Other  Sparge,1,other,
Other  Stock Watering,1,other,
Other  Stockwater 5020,1,other,
Other  Stockwater S003,1,other,
Other  Stockwater S021,1,other,
Other  Structural Permit,1,other,
Other  Subslab vapor well point,1,other,
Other  TEST HOLE - SOIL BORING,1,other,
Other  TNC well,1,other,
Other  Temporary Soil Vapor Probe,1,other,
Other  Temporary soil vapor probe,1,other,
"Other  Temporary well, abd.",1,other,
Other  Test Boring for water quality,1,other,
Other  Test Hole,1,other,
Other  This well was never used. It was a dry hole,1,other,
Other  UNKNOWN,1,other,
Other  UNREGULATED TRANSIENT NON-COMMUNITY WATER WELL,1,other,
Other  Unknown - Drilled by others,1,other,
Other  Unknown well with no records,1,other,
"Other  Unknown, discovered",1,other,
Other  Unknown-discovered during construction,1,other,
Other  Unkown,1,other,
Other  Unspecified,1,other,
Other  VAPOR TEST,1,other,
Other  Vapor Extraction. This temp well was properly abandoned on Sep. 24th 2016.,1,other,
Other  Vapor Point Well,1,other,
Other  Vapor well,1,other,
Other  Water,1,other,
Other  Water Level only (piezometer),1,other,
Other  Water Well,1,other,
Other  Well use is unknown,1,other,
Other  abandonment,1,other,
Other  ag well,1,other,
Other  ag.,1,other,
Other  ag. well,1,other,
Other  dairy,1,other,
Other  desruction,1,other,
Other  destroy well,1,other,
Other  dewatering/extraction,1,other,
Other  drilled out,1,other,
Other  dry hole,1,other,
Other  heat exchange well,1,other,
Other  industrial,1,other,
Other  iriigation,1,other,
Other  irrigation only,1,other,
Other  known,1,other,
Other  landscape irrigation,1,other,
Other  measuring depth to GW,1,other,
Other  never pumped,1,other,
Other  none labeled,1,other,
Other  not,1,other,
Other  other,1,other,
Other  prison Water Well,1,other,
Other  production well,1,other,
Other  rock testing,1,other,
Other  soil vapor monitoring well,1,other,
"Other  soil vapor probe (1/8\"" tubing)",1,other,
Other  soil vapor probes,1,other,
Other  subslab garage vapor pin,1,other,
Other  temporary soil gas probe,1,other,
Other  unk,1,other,
Other  unknown undocumented,1,other,
"Other  unknown, well was found when ripping the field",1,other,
Other  vapor,1,other,
Other  vapor points,1,other,
Other  vapor probes,1,other,
Other  water level,1,other,
Other  water storage,1,other,
Other  well destruction,1,other,
"Other  well destruction, use unknown",1,other,
Remediation  increase diameter,1,other,
Sparging  n/a,1,other,
Test Well  not specified (db),1,other,
Monitoring,30018,monitoring,
Other  Piezometer,181,monitoring,
Monitoring  n/a,19,monitoring,
Other  piezometer,18,monitoring,
Injection,1469,injection,
Other  Industrial,9,in,
Water Supply Irrigation - Agriculture,7842,agriculture,
Other  Agriculture,284,agriculture,
Water Supply Stock or Animal Watering,195,agriculture,
Water Supply Irrigation Agricultural,30,agriculture,
Other  Irrigation,23,agriculture,
Other  Agricultural,20,agriculture,
Other  AGRICULTURAL,16,agriculture,
Other  AGRICULTURE,16,agriculture,
Other  Agricultural Well,13,agriculture,
Other  IRRIGATION,9,agriculture,
Water Supply Irrigation - Agriculture Install Sanitary Seal,5,agriculture,
Other  Irrigation Well,4,agriculture,
Destruction Irrigation - Agriculture TEST HOLE,1,agriculture,
Other  Agriculture (out of use),1,agriculture,
Other  Possible Ag - Irrigation Well,1,agriculture,
Other  irragation  storage tank,1,agriculture,
Water Supply Irrigation - Agricultural,1,agriculture,
Water Supply Irrigation - Agriculture Added Liner,1,agriculture,
Water Supply Irrigation - Agriculture CABLE TOOL INSTALL LINER,1,agriculture,
"Water Supply Irrigation - Agriculture Install 14"" liner inside of 16"" casing and cement bottom of well",1,agriculture,
Water Supply Irrigation - Agriculture Install New Sanitary seal,1,agriculture,
"Water Supply Irrigation - Agriculture Install casing, Gravel Pack & Seal",1,agriculture,
Water Supply Irrigation - Agriculture Installed New Sanitary Seal & Brushed & Jetted,1,agriculture,
Water Supply Irrigation - Agriculture Modification- Installed Sanitary Seal,1,agriculture,
Water Supply Irrigation - Agriculture Modification-Install Sanitary Seal,1,agriculture,
Water Supply Irrigation - Agriculture New Casing,1,agriculture,
